Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
1,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
1,1,Miami Heat*,29.0,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,+8.2,90.9,.363,.235,.573,NA,.524,13.5,25.2,.279,NA,.475,12.6,75.5,.223,NA,AmericanAirlines Arena,"810,930","19,779"
1,2,Chicago Bulls*,26.4,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,+8.0,90.4,.305,.215,.541,NA,.501,13.5,29.4,.227,NA,.463,13.6,76.2,.222,NA,United Center,"893,462","21,792"
1,3,Los Angeles Lakers*,30.2,57,25,58,24,6.11,-0.10,6.01,111.0,104.3,+6.7,90.7,.293,.220,.545,NA,.502,12.3,29.2,.228,NA,.477,12.8,72.3,.181,NA,STAPLES Center,"778,877","18,997"
1,4,San Antonio Spurs*,28.8,61,21,56,26,5.71,0.16,5.86,111.8,105.6,+6.2,92.3,.299,.261,.567,NA,.527,12.8,24.9,.229,NA,.491,12.6,74.6,.190,NA,AT&T Center,"750,879","18,314"
1,5,Boston Celtics*,29.5,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,+5.9,90.4,.305,.180,.561,NA,.519,14.5,21.1,.235,NA,.469,14.8,74.7,.235,NA,TD Garden,"763,584","18,624"
1,6,Orlando Magic*,27.6,52,30,56,26,5.46,-0.54,4.92,107.9,102.0,+5.9,91.2,.328,.328,.554,NA,.521,14.3,26.1,.227,NA,.475,13.3,76.9,.219,NA,Amway Center,"777,852","18,972"
1,7,Denver Nuggets*,27.3,50,32,54,28,4.76,0.05,4.81,112.3,107.3,+5.0,95.6,.367,.258,.574,NA,.526,13.1,23.9,.281,NA,.500,12.7,75.4,.224,NA,Pepsi Center,"696,568","16,989"
1,8,Dallas Mavericks*,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105.0,+4.7,91.3,.286,.274,.565,NA,.525,13.6,24.1,.222,NA,.488,13.0,74.8,.206,NA,American Airlines Center,"824,162","20,102"
1,9,Oklahoma City Thunder*,23.7,55,27,51,31,3.79,0.02,3.81,111.2,107.2,+4.0,92.7,.363,.212,.561,NA,.501,13.1,27.4,.299,NA,.493,12.9,73.6,.228,NA,Chesapeake Energy Arena,"744,068","18,148"
1,10,Memphis Grizzlies*,25.2,46,36,48,34,2.34,0.20,2.55,107.6,105.1,+2.5,91.9,.291,.136,.534,NA,.493,13.0,28.9,.218,NA,.502,15.7,72.5,.228,NA,FedEx Forum,"600,687","14,651"
1,11,Houston Rockets,26.5,43,39,47,35,2.18,0.19,2.37,111.3,109.0,+2.3,94.2,.299,.264,.550,NA,.503,12.3,27.4,.239,NA,.500,12.6,72.7,.219,NA,Toyota Center,"663,839","16,191"
1,12,Portland Trail Blazers*,26.7,48,34,46,36,1.52,0.32,1.85,108.8,107.1,+1.7,87.9,.278,.228,.533,NA,.486,12.6,29.5,.224,NA,.510,15.4,72.0,.231,NA,Rose Garden Arena,"840,924","20,510"
1,13,Philadelphia 76ers*,24.7,41,41,45,37,1.50,-0.50,1.01,106.6,105.0,+1.6,91.7,.273,.184,.535,NA,.494,12.3,24.6,.210,NA,.487,13.5,74.5,.231,NA,Wells Fargo Center,"604,823","14,752"
1,14,New Orleans Hornets*,26.3,46,36,44,38,0.89,0.39,1.28,106.2,105.2,+1.0,88.7,.296,.192,.537,NA,.493,12.8,25.1,.226,NA,.501,14.4,76.2,.220,NA,New Orleans Arena,"603,088","14,709"
1,15,New York Knicks*,25.3,42,40,43,39,0.78,-0.30,0.48,110.9,110.1,+0.8,95.6,.304,.303,.561,NA,.513,12.6,24.2,.246,NA,.511,13.8,71.9,.240,NA,Madison Square Garden (IV),"808,879","19,729"
1,16,Milwaukee Bucks,26.7,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,-0.9,89.8,.287,.216,.511,NA,.467,13.0,24.7,.217,NA,.481,14.7,74.8,.236,NA,Bradley Center,"631,912","15,412"
1,17,Phoenix Suns,29.6,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,-0.9,94.4,.283,.271,.559,NA,.522,13.2,23.7,.215,NA,.513,13.1,71.6,.211,NA,US Airways Center,"720,249","17,567"
1,18,Atlanta Hawks*,27.4,44,38,39,43,-0.82,-0.28,-1.10,106.1,107.0,-0.9,89.3,.269,.222,.542,NA,.501,13.5,23.4,.209,NA,.495,12.3,74.6,.211,NA,Philips Arena,"641,596","15,649"
1,19,Indiana Pacers*,25.9,37,45,38,44,-1.07,-0.30,-1.38,104.8,106.0,-1.2,94.7,.300,.244,.533,NA,.486,14.1,25.9,.235,NA,.487,12.8,74.1,.237,NA,Conseco Fieldhouse,"555,077","13,538"
