Season,Rk,Team,G,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
8,27,Orlando Magic,82,241.8,33.8,78.7,0.429,3.6,11.1,0.323,30.2,67.7,0.447,18.9,26.1,0.726,14.4,26.9,41.2,20.7,7.9,5.4,15.3,19.7,90.1
8,28,Denver Nuggets,82,240.6,32.6,78.2,0.417,3.5,10.9,0.323,29.1,67.3,0.433,20.2,26.2,0.772,12.7,26.3,39,18.9,8.1,4.8,16,23.6,89
8,29,Golden State Warriors,82,241.8,34.7,83.9,0.413,2.3,8.5,0.272,32.4,75.5,0.429,16.6,23.3,0.71,15.7,30.2,45.9,20.8,7.6,5.5,16.7,22.7,88.3
8,NA,League Average,82,241.9,35.9,79.7,0.45,4.4,12.7,0.346,31.5,67,0.47,19.4,26.3,0.737,13.1,28.5,41.5,22,8.4,5.1,15.5,22.4,95.6
9,1,Sacramento Kings*,50,244,38.4,86.1,0.445,5.8,18.9,0.308,32.6,67.3,0.484,17.7,25.9,0.683,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2
9,2,Los Angeles Lakers*,50,241,36.8,78.7,0.468,4.8,13.7,0.352,32,65,0.492,20.5,30.1,0.683,12.4,29.6,42,21.9,7.8,5.7,15.1,24.6,99
9,3,Phoenix Suns*,50,241,35.9,80.1,0.449,5.2,14,0.372,30.7,66,0.465,18.5,24.3,0.76,12,28.4,40.3,25,8.9,4,13.6,20.4,95.6
9,4,Seattle SuperSonics,50,242,35.1,79.5,0.442,6.2,18,0.344,28.9,61.5,0.47,18.4,27.1,0.681,13.5,28.4,42,21.7,7.9,4,15.3,20.9,94.9
9,5,Portland Trail Blazers*,50,243.5,34.9,79.1,0.442,4.9,13.5,0.364,30,65.6,0.457,20,27,0.743,12.9,31.4,44.3,21.5,8.2,5.8,15.4,22.5,94.8
9,6,Indiana Pacers*,50,242,34.6,77.3,0.448,5.9,16,0.368,28.7,61.3,0.469,19.5,24.6,0.796,11.5,29,40.5,20.1,6.3,4.5,13,21.6,94.7
9,7,Houston Rockets*,50,241.5,35.1,76,0.462,6.7,18.3,0.368,28.4,57.7,0.492,17.3,23.7,0.729,10.7,30.8,41.5,21.2,7.7,5.2,16.2,19.2,94.2
9,8,Denver Nuggets,50,240.5,33.6,79.8,0.421,6,18.4,0.328,27.6,61.3,0.45,20.2,26.5,0.762,12.9,27.8,40.8,19.4,7.5,5.5,14.8,22.9,93.5
9,9,Utah Jazz*,50,243.5,33.7,72.4,0.465,2.8,7.8,0.361,30.9,64.6,0.478,23.2,30.2,0.767,11.1,30.2,41.3,24.1,8,5.5,16.3,22.7,93.3
9,10,Boston Celtics,50,243,36.3,83.3,0.436,5.5,15.2,0.36,30.9,68.1,0.453,14.9,21.5,0.692,13.6,29.2,42.8,21.5,9.1,5.1,16.1,23.9,93
9,11,Charlotte Hornets,50,243,33.4,74.4,0.449,5.4,14.7,0.365,28.1,59.7,0.47,20.7,27.7,0.747,9.6,29.9,39.5,22.2,8.9,4.9,15.9,22,92.9
9,12,Minnesota Timberwolves*,50,240.5,36.8,86.5,0.425,2.4,8.2,0.298,34.3,78.3,0.438,17,22.9,0.743,15.1,27.8,42.9,24.4,8.5,5.4,12.8,23.7,92.9
9,13,San Antonio Spurs*,50,241.5,34.8,76.2,0.456,3.4,10.4,0.33,31.4,65.8,0.476,19.8,28.3,0.698,12.3,31.7,44,22,8.4,7,15.2,20.2,92.8
9,14,Milwaukee Bucks*,50,241,35.1,76.4,0.459,4.6,12.4,0.373,30.4,64,0.476,16.9,23.1,0.733,11.4,27.4,38.8,20.6,8.8,4,14.4,22.8,91.7
9,15,Dallas Mavericks,50,241.5,35,80.7,0.434,4,11.9,0.339,30.9,68.8,0.45,17.6,24.2,0.728,12.9,29.6,42.5,18.4,7,5.8,13.8,21.3,91.6
9,16,New Jersey Nets,50,241,33.8,83.2,0.406,4.5,13.6,0.331,29.3,69.6,0.421,19.2,25,0.769,14.3,28.7,43,18.5,9.8,5.5,15,22.7,91.4
9,17,Washington Wizards,50,241,35.4,79.4,0.445,3.6,11.6,0.309,31.8,67.8,0.469,16.9,24,0.705,11.9,28.1,40,21.3,7.9,3.9,14.7,23,91.2
9,18,Toronto Raptors,50,241.5,33.2,78.8,0.421,4.5,13.2,0.341,28.7,65.6,0.437,20.2,26.6,0.76,14.2,28.9,43.2,20.7,8.8,6.4,16,22.8,91.1
9,19,Los Angeles Clippers,50,242.5,34.2,80.1,0.427,4.3,13.4,0.32,29.9,66.8,0.448,17.7,24.5,0.721,13.3,25.9,39.2,16.4,8.5,4.7,15.9,24.5,90.4
9,20,Detroit Pistons*,50,241,33.2,74.3,0.447,5,13.6,0.365,28.2,60.7,0.465,19,25.7,0.74,12.1,28.2,40.3,20.2,8.9,4.2,15.8,22.8,90.4
9,21,Philadelphia 76ers*,50,243,33.1,77.7,0.426,2,7.4,0.264,31.2,70.2,0.444,21.5,29.7,0.722,14.6,28.6,43.1,18.7,10.8,5.4,16.4,23,89.7
9,22,Orlando Magic*,50,241,33.7,78.9,0.428,4.5,13.5,0.33,29.3,65.4,0.448,17.5,25,0.7,13.8,28.9,42.7,21.3,9.9,4.3,16.4,18.7,89.5
9,23,Miami Heat*,50,240.5,32.3,71.3,0.453,5.8,16.1,0.359,26.5,55.2,0.481,18.6,25.2,0.735,10.1,30.2,40.3,20.4,6.5,6.1,14.9,20.7,89
9,24,Vancouver Grizzlies,50,243.5,32.9,76.8,0.428,3,9.1,0.327,29.9,67.7,0.442,20.2,28.2,0.717,13,27.2,40.2,19.3,8.4,4,17,22.5,88.9
9,25,Golden State Warriors,50,242.5,34.6,83.5,0.415,3.2,11.3,0.287,31.4,72.2,0.435,15.9,23.5,0.676,16.3,31.2,47.5,20.7,8.3,4.4,15.4,25.4,88.3
9,26,New York Knicks*,50,242,32.2,74.1,0.435,4.2,11.8,0.353,28,62.3,0.45,17.8,24.4,0.732,11,30.2,41.2,19.3,7.9,5.2,16.1,22.8,86.4
9,27,Cleveland Cavaliers,50,241,31.2,71.2,0.439,3.6,10.7,0.341,27.6,60.5,0.456,20.3,27.1,0.749,9.4,26.3,35.8,21.9,9,4.1,15.7,24.2,86.4
9,28,Atlanta Hawks*,50,241.5,30.8,75.2,0.409,3.9,12.9,0.306,26.8,62.3,0.431,20.8,28.4,0.731,13.5,30,43.5,15.6,6.9,5.2,14.9,19.7,86.3
9,29,Chicago Bulls,50,241.5,30.8,76.7,0.401,3.5,12.2,0.289,27.2,64.5,0.422,16.8,23.7,0.709,11.5,27.9,39.3,20.3,8.7,3.4,15.5,22.2,81.9
9,NA,League Average,50,241.8,34.2,78.2,0.437,4.5,13.2,0.339,29.7,65,0.457,18.8,25.8,0.728,12.6,29.1,41.7,20.7,8.4,5,15.3,22.2,91.6
10,1,Sacramento Kings*,82,241.5,40,88.9,0.45,6.5,20.2,0.322,33.4,68.7,0.487,18.5,24.6,0.754,12.9,32.1,45,23.8,9.6,4.6,16.2,21.1,105
10,2,Detroit Pistons*,82,241.8,37.1,80.9,0.459,5.4,14.9,0.359,31.8,66,0.481,23.9,30.6,0.781,11.2,30,41.2,20.8,8.1,3.3,15.7,24.5,103.5
10,3,Dallas Mavericks,82,240.6,39,85.9,0.453,6.3,16.2,0.391,32.6,69.8,0.468,17.2,21.4,0.804,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6,101.4
10,4,Indiana Pacers*,82,240.6,37.2,81,0.459,7.1,18.1,0.392,30,62.8,0.478,19.9,24.5,0.811,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8,101.3
10,5,Milwaukee Bucks*,82,242.1,38.7,83.3,0.465,4.8,13,0.369,33.9,70.2,0.483,19,24.2,0.786,12.4,28.9,41.3,22.6,8.2,4.6,15,24.6,101.2
10,6,Los Angeles Lakers*,82,241.5,38.3,83.4,0.459,4.2,12.8,0.329,34.1,70.6,0.482,20.1,28.9,0.696,13.6,33.4,47,23.4,7.5,6.5,13.9,22.5,100.8
10,7,Orlando Magic,82,240.9,38.6,85.5,0.452,3.6,10.6,0.338,35.1,74.9,0.468,19.2,26.1,0.735,14,31,44.9,20.8,9.1,5.7,17.6,24,100.1
10,8,Houston Rockets,82,241.8,36.6,81.3,0.45,7.1,19.8,0.358,29.5,61.5,0.48,19.2,26.2,0.733,12.3,31.5,43.8,21.6,7.5,5.3,17.4,20.3,99.5
10,9,Boston Celtics,82,240.6,37.2,83.9,0.444,5.1,15.4,0.331,32.2,68.5,0.469,19.8,26.5,0.745,13.5,29.5,43,21.2,9.7,3.5,15.4,27.1,99.3
10,10,Seattle SuperSonics*,82,241.2,37.9,84.7,0.447,6.7,19.6,0.339,31.2,65.1,0.48,16.6,23.9,0.695,12.7,30.3,43,22.9,8,4.2,14,21.7,99.1
10,11,Denver Nuggets,82,242.1,37.3,84.3,0.442,5.7,17,0.336,31.5,67.2,0.469,18.7,25.8,0.724,13.1,31.6,44.7,23.3,6.8,7.5,15.6,23.9,99
10,12,Phoenix Suns*,82,241.5,37.7,82.6,0.457,5.6,15.2,0.368,32.1,67.4,0.477,17.9,23.6,0.759,12.5,31.2,43.7,25.6,9.1,5.3,16.7,24.1,98.9
10,13,Minnesota Timberwolves*,82,242.7,39.3,84.3,0.467,3,8.7,0.346,36.3,75.5,0.481,16.8,21.6,0.78,12.4,30.1,42.5,26.9,7.6,5.4,13.9,23.3,98.5
10,14,Charlotte Hornets*,82,241.2,35.8,79.7,0.449,4.1,12.2,0.339,31.7,67.5,0.469,22.7,30,0.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4
10,15,New Jersey Nets,82,241.8,36.3,83.9,0.433,5.8,16.8,0.347,30.5,67.2,0.454,19.5,24.9,0.784,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3,98
10,16,Portland Trail Blazers*,82,241.2,36.8,78.4,0.47,5,13.8,0.361,31.9,64.7,0.493,18.8,24.7,0.76,11.8,31.2,43,23.5,7.7,4.8,15.2,22.7,97.5
10,17,Toronto Raptors*,82,240.9,36.3,83.9,0.433,5.2,14.3,0.363,31.2,69.6,0.447,19.3,25.2,0.765,13.4,29.9,43.3,23.7,8.1,6.6,13.9,24.3,97.2
