Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
1,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
1,1,Portland Trail Blazers*,24.5,49,33,55,27,5.59,-0.20,5.39,103.2,98.0,+5.2,108.0,.334,,.530,NA,.481,16.9,33.4,.254,NA,.460,17.2,69.3,.255,NA,Memorial Coliseum,,
1,2,Denver Nuggets*,27.3,50,32,54,28,5.22,-0.27,4.95,100.7,96.1,+4.6,111.2,.373,,.531,NA,.481,18.8,34.2,.275,NA,.463,18.2,68.0,.211,NA,McNichols Sports Arena,,
1,3,Philadelphia 76ers*,25.6,50,32,51,31,3.94,-0.16,3.78,101.2,97.6,+3.6,108.3,.373,,.530,NA,.480,18.3,34.6,.275,NA,.451,16.7,66.0,.197,NA,The Spectrum,,
1,4,Golden State Warriors*,25.8,46,36,49,33,3.22,-0.12,3.10,102.4,99.5,+2.9,107.8,.277,,.518,NA,.475,15.6,33.0,.211,NA,.470,17.2,67.8,.224,NA,Oakland-Alameda County Coliseum Arena,,
1,5,Los Angeles Lakers*,27.2,53,29,48,34,2.72,-0.08,2.64,101.4,98.9,+2.5,104.7,.253,,.515,NA,.478,15.3,31.0,.188,NA,.452,15.6,66.1,.194,NA,The Forum,"501,434",
1,6,Houston Rockets*,25.8,49,33,45,37,1.61,-0.17,1.44,104.5,102.9,+1.6,101.3,.287,,.529,NA,.483,16.2,36.0,.226,NA,.465,14.3,70.1,.237,NA,The Summit,,
1,7,Cleveland Cavaliers*,27.4,43,39,44,38,1.12,-0.04,1.08,100.0,98.9,+1.1,101.5,.259,,.489,NA,.449,13.7,32.6,.191,NA,.449,15.7,68.1,.241,NA,Coliseum at Richfield,,
1,8,Washington Bullets*,27.4,48,34,44,38,1.02,-0.12,0.90,99.3,98.4,+0.9,105.9,.303,,.510,NA,.470,16.5,31.6,.217,NA,.458,14.9,70.3,.189,NA,Capital Centre,,
1,9,Kansas City Kings,25.9,40,42,43,39,0.88,0.05,0.93,100.5,99.6,+0.9,106.4,.277,,.509,NA,.460,15.4,30.9,.221,NA,.472,17.4,70.3,.264,NA,Kemper Arena,,
1,10,Chicago Bulls*,26.1,44,38,44,38,0.90,0.02,0.92,98.3,97.4,+0.9,100.0,.300,,.498,NA,.452,16.0,33.5,.224,NA,.466,16.8,71.9,.201,NA,Chicago Stadium,,
1,11,Phoenix Suns,26.6,34,48,43,39,0.73,-0.09,0.64,98.1,97.5,+0.6,106.6,.323,,.519,NA,.470,18.1,29.0,.247,NA,.462,18.1,67.9,.265,NA,Arizona Veterans Memorial Coliseum,,
1,12,San Antonio Spurs*,25.8,44,38,43,39,0.61,-0.08,0.53,102.5,102.0,+0.5,111.8,.329,,.538,NA,.485,16.8,29.2,.263,NA,.487,16.9,65.7,.187,NA,HemisFair Arena,,
1,13,New York Knicks,27.8,40,42,41,41,-0.01,0.03,0.01,100.1,100.1,0.0,108.1,.276,,.527,NA,.486,16.6,26.4,.211,NA,.470,15.7,69.7,.230,NA,Madison Square Garden (IV),,
