Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
1,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
1,1,San Antonio Spurs*,29.5,58,24,63,19,7.76,0.16,7.92,106.6,98.0,+8.6,89.6,.374,.175,.541,NA,.496,13.6,27.1,.267,NA,.444,12.9,73.7,.182,NA,Alamodome,"913,176","22,273"
1,2,Sacramento Kings*,27.1,55,27,57,25,5.82,0.25,6.07,105.6,99.6,+6.0,94.4,.298,.194,.529,NA,.484,13.4,27.2,.230,NA,.460,14.5,70.7,.181,NA,ARCO Arena (II),"709,997","17,317"
1,3,Utah Jazz*,32.0,53,29,55,27,4.70,0.31,5.00,107.6,102.4,+5.2,89.8,.363,.135,.546,NA,.497,15.1,30.2,.273,NA,.473,15.6,73.2,.301,NA,Delta Center,"792,196","19,322"
1,4,Philadelphia 76ers*,28.2,56,26,54,28,4.28,-0.65,3.64,103.6,98.9,+4.7,90.6,.351,.124,.518,NA,.468,14.7,31.2,.262,NA,.460,14.5,72.5,.186,NA,First Union Center,"805,692","19,651"
1,5,Portland Trail Blazers*,30.1,50,32,53,29,4.20,0.33,4.52,106.5,101.8,+4.7,89.1,.296,.165,.539,NA,.497,14.8,30.0,.225,NA,.470,14.3,72.4,.223,NA,Rose Garden Arena,"831,376","20,277"
1,6,Dallas Mavericks*,26.6,53,29,53,29,4.28,0.32,4.61,107.1,102.6,+4.5,93.2,.291,.202,.544,NA,.498,13.1,24.1,.231,NA,.467,14.2,70.7,.244,NA,Reunion Arena,"680,238","16,591"
1,7,Milwaukee Bucks*,28.2,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,+4.2,92.1,.276,.218,.542,NA,.499,12.8,28.1,.217,NA,.473,14.4,71.1,.253,NA,Bradley Center,"683,125","16,662"
1,8,Los Angeles Lakers*,29.2,56,26,51,31,3.38,0.37,3.74,108.4,104.8,+3.6,91.7,.349,.191,.535,NA,.498,13.3,31.1,.238,NA,.468,12.2,72.5,.234,NA,STAPLES Center,"776,336","18,935"
1,9,New York Knicks*,29.8,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,+3.0,86.7,.279,.180,.523,NA,.476,14.6,24.2,.222,NA,.453,14.7,74.3,.240,NA,Madison Square Garden (IV),"810,283","19,763"
1,10,Miami Heat*,30.9,50,32,48,34,2.29,-0.57,1.73,101.1,98.5,+2.6,87.1,.299,.221,.515,NA,.469,13.7,24.3,.227,NA,.460,15.3,72.7,.214,NA,AmericanAirlines Arena,"678,186","16,541"
1,11,Toronto Raptors*,29.9,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,+2.5,90.9,.285,.167,.510,NA,.468,12.1,30.8,.213,NA,.476,13.3,73.2,.212,NA,Air Canada Centre,"793,256","19,348"
1,12,Houston Rockets,26.7,45,37,48,34,2.29,0.42,2.71,106.7,104.2,+2.5,90.4,.321,.217,.538,NA,.492,14.0,27.5,.244,NA,.475,12.6,71.9,.206,NA,Compaq Center,"518,555","12,648"
1,13,Charlotte Hornets*,28.2,46,36,48,34,2.10,-0.65,1.45,101.8,99.5,+2.3,89.4,.330,.151,.506,NA,.457,13.7,29.8,.246,NA,.456,14.1,74.5,.222,NA,Charlotte Coliseum,"615,424","15,010"
1,14,Phoenix Suns*,28.6,51,31,48,34,2.21,0.42,2.63,100.3,98.0,+2.3,93.1,.292,.156,.506,NA,.460,14.1,27.3,.221,NA,.460,16.3,73.7,.252,NA,America West Arena,"737,586","17,990"
1,15,Minnesota Timberwolves*,27.4,47,35,45,37,1.35,0.46,1.81,105.2,103.7,+1.5,91.8,.253,.131,.523,NA,.482,13.0,28.6,.199,NA,.478,14.2,71.9,.238,NA,Target Center,"717,371","17,497"
1,16,Orlando Magic*,26.0,43,39,44,38,0.99,-0.60,0.39,103.2,102.1,+1.1,93.2,.301,.196,.513,NA,.474,13.8,29.1,.215,NA,.464,15.6,69.8,.290,NA,TD Waterhouse Centre,"605,031","14,757"
